Cust_Chn_Nm	UNT_NAM	Trx_Amt
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-382800.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-2973.23
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-97279.44
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	8136.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-22893.23
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	109.20
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	259.99
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	4801.58
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-10100.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	163.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	8815.01
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-5737646.04
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-25911.48
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	7557.93
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-60032.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	3281.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	970.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	41295.45
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-8001.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-3126.68
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	246471.90
